,0
"Гісь!…- Голі морди, з старечим виразом зануди, одкривають слиняві губи, щоб поскаржитись бозна-кому: ""Бе-е… ме-е…"" Два вівчарі ведуть перед.",1
"Червоні гачі мірно розтинають повітря, од руху киває на ході за кресанею квітка,- Бир-бир!…- Вівчарки нюхають вітер і одним оком скоса поглядають на вівці, чи все в порядку.",1
"Треться вовна об вовну, біла об чорну, хвилюють пухнаті хребти, як дрібні в озері хвилі, і драгліє отара.- Птруа… птруа!…- Горляний поклик все навертає крайніх в отару, тримає повідь у берегах.",1
"Гори голубіють навколо, як море, вітер громадить на небі хмари.",1
"Тремтять кучеряві овечі хвости, а голови всі нахилились, і білі плескаті зуби вигризають у корінь солодку бриндушу, храбуст або рожевий горішок.- Бир!",1
"Бир!…- Стелить отарі під ноги полонина свій килим, а вона накриває її рухомим рябим кожухом.",0
"Хрум-хрусь… Бе-е… ме-е!… Хрусь-хрусь… Тіні од хмар бродять по ближчих горбах, пересувають їх з місця на місце.",-1
"Ходять, здається, гори, як вали в морі, і тільки далекі непорушно голубіють на місці.",0
"Сонце залляло овечу вовну, розклавшись веселкою в ній, запалило трави зеленим вогнем, за вівчарями ідуть довгі їх тіні.- Птруа… Птруа!…-Хрум-хрусь… хрусь-хрусь… Нечутно ступають пастухи в постолах, котиться м'яко вовниста хвиля по полонині, а вітер почина грати на далекім воринні.",-1
"Дз-з…- тонко співає він в одколоту скалку, докучно бринить, як муха.",1
"Дз-з…- обзивається грубо друге вориння, наводячи сум.",-1
Хмари все прибувають.,-1
"Вони вже закрили півнеба, гасне далекий Бескид, і чорніє, і похмурніє в тінях, немов удівець, а полонина ще молодіє.",0
"І питається вітер тонко в воринні: ""Чому ти ся бай не жениш, високий Бескиде?""",1
"-""Бо зелена полонинка за мене не піде"",- сумно зітхає Бескид.",-1
"Блакитне небо замазалось сірим, море гір потемніло, полонина погасла, і отара овець повзе по ній, як сірий лишай.",-1
Холодний вітер розправля крила і б'є ними у груди попід кептар.,0
"Так трудно дихать, що хочеться обернутись до нього спиною.",0
"Хай б'є… Тонко заводить вориння, як муха в тенетах, скиглить біль нестерпучий, плаче самотній сум… Дз-з… дзи-и… Невгавуче, безперестанку.",-1
Висотує жили і крає ножем по серці.,0
"Хтів би не слухать, але не можна, хтів би втекти - та де?",0
Гісь-гісь!… А ти куди?… Шляг би ті трафив!,0
Бир-бир!… Мурко!… Але Мурко вже навертає.,0
"Обганяє вівцю, вітер настовбурчив на ньому шерсть, а він зловив вже зубами за карк вівцю і кинув в отару.",1
Дз-з-и и… Дз-зі-і-і… Так зуби болять одноманітним і нестерпучим болем.,-1
Зціпив би зуби й замовк.,0
Боли.,0
"Дзичи, пек ті та цур!",0
Що воно плаче?,-1
"Відай, се ""той"", бодай скаменів!… Отак, здається, впав би на землю, безсилий, затулив вуха руками та би заплакав… Бо вже не годен… Дз-з-и-и… Дзі-у-у!… Йой!…

Іван виймає флояру і дме у неї що має сили, але ""той"", навіжений, сильніший за нього.",0
"Летить од Чорногори, як розгнузданий кінь, б'є копитами трави і розмечує гривою згуки флояри.",0
"А Чорногора, мов відьма, блима за ним більмом - сніговим полем з-під чорних розпатланих кіс і лякає.",-1
"Дз-и-и… Дзі-у-у!…

Закотилися вівці в долинку, і тут тихіше.",0
На сірому небі показалось блакитне озерце.,1
Остра полонинська трава сильніше запахла.,1
Озерце в небі виступа з берегів і вже широко розлило води.,1
"Заголубіли знову верхи, а всі долини налились золотом сонця.",1
Іван дивиться вниз.,0
"Там десь, між горами, де люди, по зеленій отаві походжають білі ноги Марічки.",0
її очі звернені десь на полонину.,0
Чи співає свої співанки?,0
"А може, справді порозсівала по горах, вони зійшли квітками, а Марічка замовкла?",0
"Ой як будуть вівчарики
Білі вівці пасти,
Будуть мої співаночки
За кресаню класти…-
згадується йому милий дівочий голос, і він зриває квітку та закосичує нею кресаню.",1
Птруа… птруа… Сонце пече.,0
Робиться душно.,0
"Котяться вівці, пирхають на бігу, кривлять старечі губи, щоб краще стяти зубами солодкий храбуст, та лишають по собі свіжі бабельки.",1
"Хрусь-хрусь… хрум-хрум… Треться вовна об вовну, біла об чорну, хвилюють хребти, як в озері хвильки… Бе-е… ме-е… а собаки усе тримають отару у берегах.",1
Потомились вівчарки.,0
Лягають і носять боками в траві.,-1
"На довгий червоний язик, що звиса між іклами, сідають мухи.",-1
- Бир-бир!,0
"- сердито гукає Іван, і вже собаки при вівцях.",0
"Далеко, на полонині, під густим лісом, пасуться корови.",0
Бовгар([19]) сперся в задумі на довгу трембіту.,-1
Так поволі тягнеться час.,0
"Гірське повітря прополоскало груди, хочеться їсти.",0
І як самотньо!,-1
"Стоїш тут маленький, як бадилина у полі.",0
"Під ногами зелений острів, що його обливають блакитні води далеких гір.",0
"А там, по суворих диких верхах, десь у безводах, в безслихах, гніздиться всяка мара, ворожа сила, з якою тяжко боротись.",-1
"Лиш одно - сокотися…

Гісь-гісь!",0
"Трусяться вівці зеленим полем, м'яко ступають по траві постоли… Тиша така, що чутно, як кров тече в жилах… Сон налягає.",0
"Кладе м'якеньку лапу на очі і на лице і шепче до вуха: спи… Вівці тануть перед очима… от вже з овець стали ягнята, а от нічого нема.",0
"Поплили трави, як зелена вода.",0
Приходить Марічка.,0
"Ой не обдуриш, небого, ой ні… Іван знає, що то лісна, а не Марічка, що то вона надить його.",0
Щось тягне його за нею!,0
"Не хоче, а вже пливе, як пливуть трави зеленим потоком…

І раптом дике передсмертне ревіння корови викидав його зі сну.",-1
Що?,0
Де?,0
"Бонгар як стояв, опершись трембітою в землю, так і застиг.",0
"Рудий бугай вдарив ногами в землю, зігнув воласту шию і підняв хвіст.",-1
"Він вже мчить на той крик, високо скаче і рве ногами траву.",-1
Ріже ногами повітря.,0
Бовгар стрепенувся і поспішав за ним до лісу.,0
Бахнув у лісі стріл.,0
Бах-бах-бах…- загриміли з рушниць верхи.,0
"Бах-бах-бах…- озвались дальші, і все німів.",0
Тиша.,0
"""Певно, ""вуйко"" зарізав корову"",- дума Іван і пильніше оглядає свою отару.",0
"- Птруа-птруа…- Сонце наче заснуло, вітер затих і перенісся з землі на небо.",1
"Він вже громадить там хмари, таке саме збурене море верхів, яке бачив круг полонини.",-1
"В безконечних просторах загинув час, і не знати, чи день стоїть, чи минає…

Раптом до вуха долітав давно жданий поклик трембіти.",-1
"Він приносить од стаї запах кулеші та диму і довгим мелодійним тремтінням оповідав, що кошари чекають на вівці…

- Гісь-гісь…- Мечуться пси, блеють овечки і ллються перистим потоком в долину, трясучи вим'ям, обважнілим од молока…

x x x
Вже третю добу сів на полонині дрібний мачкатий дощик.",-1
"Закурились верхи, закуталось небо, і в сірій мряці пропали гори.",0
"Вівці ледве ходили, важкі, повні водою, як губка; одежа на вівчарях стала холодна й цупка.",-1
"Тільки й спочинку було, що під дашком у струнці([20]) під час доїння.",0
"Іван сидить, опершись плечима в дошку, а ногами стискає дійницю.",0
"Біля нього - чорний пелехатий козар([21]), що за кожним словом клене, а там ще вівчарі.",0
"Нетерплячі дроб'єта, яким прибува молоко, пруться з загороди у струнку, щоб їх швидше здоїли.",1
"Але ж бо почекайте, сараки, бо так не йде… Лиш по одній…

- Рист!",0
- сердито кидає ззаду гонінник в овечий лемент та хльоска мокрим прутом.- Рист!,-1
"Рист!…- підбадьорюють вівчарі та одхиляють коліна од дірки, кудою скаче у струнку вівця.- А!",-1
Бодай бис…- клене козар і не кінчає: ану скажеш в таку годину!,0
Навиклим рухом Іван хапа вівцю за хребет і тягне до себе задом понад широку дійницю.,1
"Покірно стоїть вівця, невигідно розчепіривши ноги, гака дурна, і слуха, як дзюрить з неї молоко у дійницю.- Рист!",-1
- хльоска ззаду гонінник.- Рист!,0
Рист!,0
- покликують і собі вівчарі.,0
"Здоєні вівці, немов стуманілі, падають в загороді на камінь, кладуть голову на лапки і кривлять голі старечі губи.- Рист!",-1
"Рист!…- Іванові руки безперестанку мнуть тепле овече вим'я, одтягають дійки, а по руках в нього тече молоко, що пахне лоєм і підіймає з дійниці масну солодку пару.",0
- Рист!,0
"- Вскакують вівці як очманілі, розчепірюють над дійницями ноги, і десять вівчарських рук мнуть тепле вим'я.",0
"Жалібно плаче мокра отара по сей і той бік струнки, падають в загороду знесилені вівці, а густе молоко дзвінко дзюрить в дійницю та затікає теплим струмочком аж за рукав.- Рист!",-1
"Рист!…

Козар сміється очима до своїх кіз.",0
"Вони не те, що овечки, в них гостре серце.",1
"Не падають трупом, як плохі вівці, а твердо стоять на тоненьких ногах.",0
"Цікаво підняли ріжки і дивляться в мряку, наче крізь неї щось бачать, і так бадьоро трясуться у них тоненькі борідки…

x x x
Опустіли кошари.",0
Тиша і пустка.,0
"Може, там десь в глибоких долинах, звідки гори починають рости, і лунають сміх людський та голоси, але у се віриться мало.",1
"Тут, в полониш, де небо накриває безлюдні простори, що живуть в самотині тільки для себе, вікує тиша.",0
Лиш в стаї тріщить невгасимий погонь і все висилає синій дим свій на мандри.,-1
"Здоєне молоко важко спочиває в дерев'яній посуді, над ним схилився ватаг.",-1
Він вже його заправив.,0
"З подри([22]), де сохнуть великі круглі боханці будзу, повіває на ватага вітер, але не може прогнати зі стаї запаху вугля, сиру і овечої вовни.",1
Бо тим самим пахне і ватаг.,0
"Нові бербениці й барильця німують в кутку, хоч тільки запукай до них - і обізветься голос, що там жиє.",1
Холодна жентиця([23]) світить з коновки зеленим оком.,-1
"Ватаг сидить серед свого начиння, як батько серед дітей.",0
"Все воно - чорні лавки і стіни, ватра і дим, будз, бербериці й жентиця,- все воно близьке і рідне, на всьому спочила його тепла рука.",-1
"Молоко вже гусне, але ще йому не пора.",0
Тоді ватаг вийма з-за череса цілий жмуток дерев'яних колодок і починав читати.,0
"Там закарбовано все, в тій дерев'яній книзі, хто скільки має овець і що кому належить.",0
"Турбота зсува йому брови, а він уперто чита: ""Мосійчук має штирнадцять дроб'ет, а му належит…""

За стінкою стаї спузар виводить:

Питається у баранця
Круторіжка вівця:
Ци ти вробиш, баранчику,
Зеленого сінця?",-1
- Розспівався!,0
- сердиться ватаг і наново перелічує карби.,0
"Не знаєш ти, круторіжко,
Яка буде зима,
Ци ти вийдеш, ци не вийдеш
З полонинки жива, -
докінчує спузар у сінях і входить в стаю.",1
"Закопчений, чорний, згинається над вогнем, і білі зуби блищать у нього.",0
Вогонь потріскує стиха.,0
Молоко в путині жовкне і гусне.,0
"Ватаг схилився над ним скуплений, навіть суворий.",-1
"Розщібає поволі рукава і по сам лікоть занурює в нього свої голі, зарослі волоссям руки.",0
"І так застигає над молоком…

Тепер має бути тихо у стаї, двері замкнені, і навіть спузар не сміє кинуть оком на молоко, поки там твориться щось, поки ватаг чаклує.",0
"Все наче застигло в німому чеканні, бербениці затаїли у собі голос, притаїлись будзи на полицях, поснули сном чорним стіни і лави, вогонь ледве диха, і навіть дим соромливо тікає в вікно.",-1
"Тільки по легкому рухові жил на ватагових руках помітно, що насподі в посуді одбувається щось.",1
"Руки оживають потроху, то підіймаються вище, то опускаються нижче, закруглюють лікті, щось плещуть, бгають та гладять там всередині, і раптом з дна посуди, з-під молока, підіймається кругле сирове тіло, що якимсь чудом родилось.",-1
"Воно росте, обертає плескаті боки, купається в білій купелі, само біле і ніжне, і коли ватаг його виймає, зелені родові води дзвінко стікають в посуду…

Ватаг легко зітхнув.",1
Тепер і спузар може вже глянуть.,0
"Славний родився будз, ватагові на втіху і на пожиток людям…

Одчиняються двері нарозтіж, вітер дме з подри, ватра з радості лиже чорний котел, в якому сироватка Єуля коломийки, і серед диму й вогню блищать в спузаря зуби…

А коли сонце заходить, ватаг виносить зі стаї трембіту і трубить побідно на всі пустинні гори, що день скінчився миром, що будз йому вдався, кулеша готова і струнки чекають на нове молоко…

x x x
За своє літування у полонині зазнав Іван немало пригод.",1
Раз він побачив дивну картину.,0
"Мав уже гнати вівці до стаї, коли ненароком озирнувся на близький верх.",0
"Мряка знизилась і укутала ліс, а він став легкий і сивий, як привид.",1
Тільки полянка зеленіла під ним та чорніла одинока смерека.,0
І ось та смерека закурилась і почала рости.,0
Росте та й росте - і ось виступив з неї якийсь чоловік.,0
"Став на полянці, білий, високий, і гукнув назад себе у ліс.",-1
"І зараз вийшли з лісу олені, один за другим, а що вийде новий, то роги у нього все кращі та веселіші.",1
"Гуртом вибігли серни, потремтіли на тоненьких ногах та й почали щипати траву.",0
"А що розсиплються серни, то ведмідь їх заверне, отак як вівці вівчарка.",0
А той білий пасе - ще й погейкує на худібку.,0
"Тут раптом звівся вітер, а то стадо як пирсне, так і пропало.",0
"Отак як би хукнув на скло, воно за пітніє, а потому щезне усе, наче нічого не було.",0
"Він показував іншим, але ті дивувалися: ""Де?",1
"Сама лиш мряка"".",0
"За два тижні ""великий"" - так вівчарі пошепки називали ведмедя - зарізав ще п'ять корів.",1
Часто негура([24]) заставала вівці у полонині.,0
"У густій мряці, білій, як молоко, все пропадало: небо, гори, ліси, пастухи.- Г-ей!",1
- кликав Іван перед себе.- Г-ей!,0
"- відзивалось глухо на його поклик, як з-під води, а звідки, де був той, що кричав,- невідомо.",0
"Вівці сивим туманом котились попід ногами, а далі пропадали й вони.",-1
"Іван йшов безпомічний, простягти руки перед собою, наче боявся на щось наткнутись, і кликав: - Гей!…- Де ти?",-1
- обзивалось вже ззаду - і Іван мусив ставати.,0
"Стояв безпорадний, згублений у липкому тумані, і коли прикладав до уст трембіту, щоб обізватись, другий кінець трембіти розпливався у мряці, а здушений голос її, тут же на місці, падав йому під ноги.",-1
Так вони розгубили кілька овечок.,0
"""Вуйко"" роздер ще дві корови, але то було востаннє: добирався вночі до стаї та й настромився на кіл.",0
Тепер його шкура сушиться на кілках і на неї брешуть собаки.,0
Часом била на полонині плова.,0
Святий Ілля воювавсь з тими - цур їм та пек!,1
Так блискав мечем і так гримав з рушниці - свят єси господи!,0
"- що лупилося небо та западало на гори, а щойно лусне, то щось чорне за кожним разом зів'єся туди-сюди - та й шусть під камінь… Він, щез би, глумиться богові, підставляє, свою гузицю, а вівчареві біда: страху набереться, ще й змокне до нитки…

У петрівку упали зими - і то такі тяжкії, що три дні не сходив сніг.",-1
"Тоді розчахнулось багато овечок…

Зрідка приходили люди з долини, їх обступали, питаючись навперейми:

- Що чути селом?",1
"І, як ті діти, слухали прості оповідання про те, скільки люди вробили сіна, що буришки([25]) нема, кукурудзи ріденькі, а Мочарникова Ілена померла.",0
"Потому всі разом пили за здоров'я маржинки, гості набирали у бербениці бриндзи та в мирності знову спускались в долини.",0
Вечорами біля стаї палали вогні.,0
"Вівчарі скидали з себе одежу та трусили над ними воші або, зібравшись докупи, зголоднілі за літо без ""челядини"", вели безконечні масні розмови.",0
Їх регіт покривав навіть сонні зітхання худоби.,0
"Іван, перше ніж облягатись, кликав до себе Миколу, завжди співучого і говіркого.",1
"- Мико!… Ходи д'мені, браччіку!…

- Почекай, браччіку Йва, я зараз!",0
"- гукав од стаї спузар, і вже звідти долітала до Івана його співанка:

Чорногора хліб не родить,
Не родить пшеницю,
Викохує вівчариків,
Сирок і жентицю…
Микола був сиротою і виріс у полонині.",-1
"""Плекали мя вівці"",- говорив він про себе, пригладжуючи непокірні кучерики.",1
"Упоравшись, лягав спузар біля Івана, весь чорний, пересичений димом, й блищав молодими зубами при вогні ватри.",0
"Іван присувався ближче до нього, ловив Миколу за шию й прохав:

- Оповіж, браччіку, казку якус, ти їх багато знаєш…

З чорного неба капали зорі, й пливла по ньому білим шумом небесна ріка.",1
В долинах дрімали гори.,0
"- Відай, ростут,- кидав наче до себе Іван.",0
- Хто?,0
- Гори.,0
"- Перше росли, тепер перестали…

Микола мовкне, але потім додає стиха:

- З первовіку не було гір, лише вода… Така вода, гейби море без берегів.",1
Та й бог ходив водою.,0
"Але раз він уздрів, що на воді крутиться шум.",-1
"""Хто ти є?""",0
- запитав.,0
"А воно каже: ""Не знаю.",0
"Живий сме, а ходити не можу"".",1
А то був арідник.,0
"Бог про него не знав, бо він був, як бог, з первовіку.",0
"Дав бог йому руки та й ноги, і ходять вже разом оба побратими.",0
"От вкучилось їм все по воді ходити, схотів бог землю зробити, а як дістати з дна моря глини - не знає, бо бог все знав на світі, лише нічого не вмів зробити.",1
"А арідник мав силу до всього - та й каже: ""Я бих туди пронир"".- ""Пронри"".",0
"От він пірнув на дно, згріб в жменю глини, а решту сховав до рота для себе.",-1
"Узяв бог глину, розсіяв.",0
"""Більше нема?""",0
"- (.Нема"".",0
"Поблагословив бог ту землю, та й почала вона рости.",0
"А та, що в роті у сотони, росте й собі.",0
"Росте та й росте, вже й рота розперла, не можна йому дихати вже, очі на лоба лізуть.",0
"""Плюй!""",0
- радить бог.,0
"Зачав він плювати, та й де лиш плюне, там виростають гори, одна вище за другу, до самого неба доходять.",1
"Вони б і небо пробили, коли б бог не закляв.",1
"Відтоді перестали гори рости…

Дивно Іванові, що такі красні гори, такі веселі, а сотворив їх злий.",0
"- Кажи, браччіку, далі,- просить Іван, а Микола знов починав:

- Арідник був здатний до всього, що надумав - зробив.",1
"А бог, як що хотів мати, мусив вимудровувати в нього або украсти.",0
"Поробив арідник вівці, зробив си скрипку і грав, а вівці пасуться.",-1
"Побачив бог та й вкрав тото в него, і вже обоє пастушат.",-1
"Що є на світі - мудрощі, штудерація всяка,- то все від нього, від сотони.",1
"Де що лиш в - віз, кінь, музика, млин або хата,- все вигадав він… А бог лиш крав та давав людям.",-1
"Таке-то…

Раз арідник змерз та й, щоб загрітись, вигадав ватру.",0
Прийшов бог до ватри і дивиться на вогонь.,0
"А той вже знав, чого він.",0
"""Все ти, каже, у мене покрав, а сього не дам"".",0
"Але дивиться арідник, а бог кладе вже ватру.",0
"Так йому стало досадно, що він озьмив та й плюнув у божу ватру.",0
А з тої слини і знявся над вогнем дим.,-1
"Перше ватра була без диму, чиста, а відтоді курить…

Довго Микола оповідає, а коли ненароком згадає чорта, Іван хрестить груди під кептарем.",-1
"Микола ж тоді плює, аби нечистий не мав над ним сили…

x x x
Занедужав Микола - і Іван замість нього пильнує ватри.",-1
"Проти вогню, на лаві, спить ватаг, а там, в кутку, де неспокійно хвилюють тіні од бербениць, постогнує хорий.",-1
"В чорнім котлі кипить вода, дим збивається вгорі, під дах, і вилітає крізь Єонти.",-1
"Часом нечистий дихне у діру, і тоді дим з силою буха та гризе очі, але то добре, бо не можна заснути.",0
А сон налягає.,0
"Щоб одігнати його, Іван встромлює очі в живий вогонь.",1
"Він мусить сокотити вогонь, сю полонинську душу, бо хто знає, що б сталось, якби не вберіг!",-1
Весела грань сміється до Івана з-під важкого накладу і раптом чезне.,-1
"Перед очима пливуть вже зелені плями, розпливаються у царинки, у смерековий ліс.",-1
По царинці ступають білі ноги Марічки.,0
Вона кида в поліг граблі і простягає до нього руки.,0
"І у ту мить, коли Іван ось-ось мав почути м'яке тіло Марічки на своїх грудях, з лісу виходить з риком ведмідь, а білі вівці мечуться вбік і одділяють його од Марічки.",0
"""Ху, пек ті та цур!… Невже заснув?""",0
"Жар з ватри кліпає оком, ватаг хропе, а під чорним покривалом рухливих тіней стогне Микола.",0
Чи не пора варити кулешу на сніданок для вівчарів?,0
Іван виходить з стаї.,0
Тиша і холод обіймають його.,0
"Десь в загородах диха худібка, збились вовною вівці, слабо блищать біля застайок ватри.",0
"Вівчарки обступили Івана, витягують залежане тіло, гребуться і труться до ніг.",0
"Чорні гори залляли долини, як велетенська отара.",-1
"Вони вікують у такій тиші, що чують навіть дихання худоби.",0
"А над ними розстелилося небо, ся полонина небесна, де випасаються зорі, як білі овечки.",1
"Чи ще щось є в світі, опріч сих двох полонин?",1
"Одна послалась долом, друга горою, а між ними, як дрібна цятка, чорніє пастух.",0
"А може, нема нічого.",0
"Може, ніч затопила вже гори, може.",-1
"зсунулись гори, роздушили усе живуще і лиш одно Іванове серце глухо калата під кептарем у безконечних мертвих просторах?",-1
"Самота, як біль зубів, почина ссать йому серце.",-1
"Щось велике, вороже душить його, ся затверділа тиша, байдужний спокій, сей сон небуття.",0
"Нетерплячка стука йому до голови, за горло хапає неспокій-і, стрепенувшись раптом, він з криком, улюлюканням й зойком кида собою у полонину, щоб серед Євалту вівчарок дико ревучим клубком зламати тишу, розбити ніч на скалки, як камінь шибку.",-1
"Ов-ов-во!…- одзиваються збуджені гори… Га-га-га…- повторяють в тривозі далекі верхи, і знову зімкнулась розбита тиша.",0
"Вівчарки вертають назад, скалять до Івана зуби та махають хвостами.",-1
Але зробилось іще сумніше.,0
"Схотілось сонця, веселого шуму ріки, теплого хатнього духу, розмови.",0
"Жаль вхопив серце, солодка туга.",-1
Згадки почали його заливати та хвилюватись перед очима.,-1
"І раптом почув він тихе: ""Іва-а!""",0
Хтось його кликав.,0
О!,0
"Знову: ""Іва-а!…""

Марічка?",0
Де вона взялась?,0
Прийшла на полонину?,0
Вночі?,0
Заблудилась і кличе?,0
"Чи, може, йому причулось?",0
"Ні, вона тут.",0
"Серце калата в Іванових грудях, але він вагається ще.",0
Куди іти?,0
"І знову, утретє, долітає до нього звідкись: ""Іва-а!…"" Марічка… вона… напевно… Він біжить навпростець, без стежки, туди, звідки чув голос, але стрічає лиш прірву, кудою не можна ні збігти, ані дістатись на полонину.",-1
Стоїть й заглядає у чорну безодню.,-1
Тоді йому робиться ясно: се його кличе лісна.,1
"І, хрестячи груди та озираючись лячно, він повертає до стаї.",0
Пора варити кулешу.,0
"В киплячий казан він сипле муку, крає її навхрест, і скоро запашна пара мішається з запахом диму.",-1
Ватаг потягається вже… почина дніти.,0
Але хто його кликав?,0
"А може, то була таки Марічка?",0
"Його тягне подивитися ще, коли стало видніше.",0
Йде в полонину.,0
"Холодні роси сідають йому на постоли, небо зачервонілось, і зблідли зорі.",0
Іван виходить на верх - і раптом холоне.,-1
Де він?,0
Що з ним?,0
Куди ділися гори?,0
"Води обляли кругом полонину, потопили верхи, і полонина пливе самотою в безкрайому морі.",0
"Од Чорногори подихнув вітер, повні води хвилюються стиха, чутно, як невидиме ще сонце росте в глибині, а ось виткнувся з моря весь сивий верх, з якого стікає вода.",1
"Сильніше подиха холод, зростають вали на морі, і верхи, один за другим, пробиваються з білої піни.",-1
Світ наче наново родився.,1
"Води постікали з верхів і ходять вже під ногами, сонце простелило на небі свою корону і ось-ось покаже лице, а з стаї несеться сумний голос трембіти і будить зі сну полонину.",0
"x x x
Так літував Іван у полонині, аж поки вона не спустіла.",0
"Стекла маржинка назад в долини, розібрана хазяями, одтрембітали своє трембіти, лежать здоптані трави, а вітер осінній заводить над ними, як над мерцем.",-1
Лишились тільки ватаг зі спузарем.,0
"Вони мусять чекати, аж згасне вогонь, той вогонь полонинський, що сам народився, неначе бог, сам має й заснути.",0
"А коли і їх вже не стало, на засмучену полонину приволіклась мара та й нипа по стаї й по загородах, чи не лишилось чого для неї.",-1
"x x x
Надаремне Іван поспішав з полонини: він не застав Марічки живою.",1
"За день перед сим, коли брела Черемош, взяла її вода.",0
"Несподівано заскочила повінь, люті габи([26]) збили Марічку з ніг, кинули потім на гоц([27]) і понесли поміж скелі в долину.",-1
"Марічку несла ріка, а люди дивились, як крутять нею габи, чули крики й благання і не могли врятувати.",-1
Іван не вірив.,0
"Се, певно, штуки Гутенюків.",0
Дізнались про їхнє кохання й сховали Марічку.,0
"А коли зо всіх боків чув лиш те саме, рішив шукати тіла.",-1
"Мусило ж прибитись десь до кашіци([28]), десь люди мали його спіймати.",0
"Пішов вздовж річки, повний пекучого гніву і злоби до її вічного шуму, до киплячої люті.",-1
В одному селі знайшов-таки тіло.,0
"Його вже витягли на зарінок, але він не пізнав в ньому Марічки.",0
"Се не Марічка була, а якийсь мокрий лантух, синя кривава маса, стерта річним камінням, як у млині…

Великий жаль вхопив Івана за серце.",-1
"Зразу його тягло скочити з скелі у крутіж: ""На, жери і мене!""",0
"Але потому щемлячий тусок погнав його в гори, далі од річки.",0
"Затуляв вуха, щоб не чути зрадливого шуму, що прийняв в себе останнє дихання його Марічки.",-1
"Блукав по лісі, поміж камінням, в заломах, як ведмідь, що зализує рани, і навіть голод не міг прогнати його в село.",-1
"Знаходив ожини, гогози, пив воду з потоків і тим живився.",-1
Потому щез.,0
"Люди гадали, що він загинув з великого жалю, а дівчата склали співанки про їхнє кохання та смерть, які розійшлися по горах.",0
"Шість літ не було чутки про нього, на сьомий раптом з'явився.",-1
"Худий, зчорнілий, багато старший од своїх літ, але спокійний.",1
"Оповідав, що пастушив на угорському боці.",0
"Ще з рік так походив, а відтак оженився.",0
Треба ж було Єаздувати.,0
"Коли замовкли стріли пістолів і одспівали весілля, а жінка пригнала до загороди вівці й корови, Іван був задоволений навіть.",1
"Його Палагна була з багацького роду, фудульна, здорова дівка, з грубим голосом й воластою шиєю.",0
"Правда, вона любила пишне лудіння, і немало десь піде грошей на шовкові хустки та дорогі згарди, але то байка!",1
"Поглядаючи на овечки, що блеяли в загородах, на свій писаний ботей (стадо), на корови, що дзвонили та рули по випасах в лісі,- він не журився.",0
Тепер він мав коло чого ходити.,0
"Не був жадний багатства - не па те гуцул жиє на світі,- саме плекання маржинки сповняло радістю серце.",1
Як дитина для мами - та кою була для нього худібка.,0
"Весь час, всі думки займала турбота про сіно, про вигоди маржинці, щоб не заслабла, щоб хто не зурочив, щоб вівці щасливо котились, а корови уположались.",0
"Скрізь, од усього була небезпека, і треба було добре глядіти маржину од гадини, звіра і од відьом, які всякими способами потягали манну з коров та потинали худібку.",0
"Треба було багато знати, підкурювать, ворожити, збирати помічне зілля і замовляти.",0
Палагна йому помагала.,0
"З неї була добра Єаздиня, і свої вічні турботи він ділив з нею.",1
- Ну і сусіди дав нам пан-біг!,0
"- жалілась вона чоловікові.- Війшла даві в притулу Хима, глянула на ягнєта та як сплесне в долоні: ""їй!",0
"Які вони файні!""",0
"На, маєш, гадаю собі.",0
"Не встигла та за поріг, а двоє ягнєт закрутилось на місці - та й вже по них… Ігій на тебе, відьмо…

- А я йду сночі,- оповідав Іван,- повз її хату та й дивлюся - кочеється шос кругле, гейби капшук.",0
"Та й світиться так, наче зірниця.",1
"Став я й дивлюся, а воно по царинці, через вориннє та й просто в Химині двері… Абих так здоров був!… Якби був догадався та зняв свої гачі, може б, ними відьму імив, а так пропало…

З другого боку, на найближчім горбі, сусідив Юра.",0
"Про нього люди казали, що він богує.",0
"Він був як бог, знаючий і сильний, той градівник і мольфар.",1
"В своїх дужих руках тримав сили небесні й земні, смерть і життя, здоров'я маржини й людини, його боялись, але потребували усі.",-1
"Траплялось, що і Іван звертався до нього, але за кожним разом, стрічаючи погляд чорних пекучих очей моль-фара, спльовував непомітно: ""Сіль тобі в оці!…""

Проте найгірше докучала їм Хима.",-1
"Стара улеслива баба, завжди така привітна, вона вечорами перекидалась в білого пса та нипала по загородах сусідських.",1
"Не раз Іван метав сокирою в неї, жбурляв вилами та проганяв.",-1
Ряба корова на очах худла і все менше та менше давала подою.,0
"Палагна знала, чия то справа.",0
"Вона підглядала, говорила примівки, по кілька разів на вечір бігала до коров, вставала навіть вночі.",0
"Раз наробила такого крику, що Іван біг в загороду як навіжений і мусив одганяти од порога велику жабу, що намагалась перелізти у хлів.",0
"Але жаба раптом десь щезла, а з-за вориння скрипів вже голосок Химин:

- Добрий вам вечір, сусідоньки красні… хе-хе…

Безвстидна!",0
"Чого вона тільки не виробляла, ота родима відьма!",0
"Перекидалась у полотно, що біліло смерком попід лісом, повзла вужем або котилась горбами прозорим клубком.",1
"Спивала, нарешті, місяць, щоб було темно, як йде до чужої худоби.",0
"Не один присягався, що бачив, як вона терницю доїть: заб'є у неї чотири кілки, неначе дійки,- і надоїть повну дійницю.",0
Скільки клопоту було в Івава!,0
Він не мав навіть коли спам'ятатись.,0
"Ґаздівство потребувало вічної праці, життя маржини так тісно в'язалось з його власним життям, що витісняло всякі інші думки.",1
